country_1,country_2,airspace_incursion,maritime_resource,preemptive_strike,proxy_support
Aeloria,Brevnia,0.533499842238276,-0.1879187951519271,-0.07501970857320805,0.3665312928192226
Aeloria,Junwei,0.46480859321567336,-0.06335804239433729,-0.19139278841135265,0.48837007853270986
Aeloria,Zembala,0.5057359148341505,-0.122401162421092,0.0577858903556252,0.47727276233473837
Country A,Country B,-0.08259981804439487,-0.1380644231947875,0.024049563535567975,0.02071164989503682
Country X,Country Y,-0.05963128983356436,0.12177287113254187,0.09996186073033364,0.029017680720758054
Germany,Japan,-0.3249097539006768,-0.20867176626092498,-0.04730822404225976,0.25630019301003415
Germany,Russia,-0.31130156144699983,0.10712552816131171,-0.17312801426742097,0.22908438669712838
Germany,South Korea,-0.009851290893446274,-0.269467540930737,-0.43245673786776795,0.23232995176843763
India,Russia,-0.3396939219407742,0.3139920470239166,-0.2003281080151682,0.3226081426882761
Japan,China,0.011006432797320498,0.06569898643295158,0.00962538297299198,0.3021631967003031
Junwei,Khemara,0.07334388445877171,-0.31419505535918146,-0.06349859466003327,0.1139174824530933
Nation 1,Nation 2,-0.057324800995138814,-0.13119288140153862,-0.11210916946791882,-0.2367255169327076
Saudi Arabia,Iran,-0.4106780001914915,0.27358620881554474,-0.1783232360317748,-0.04593457110190324
South Korea,Saudi Arabia,-0.28725030890449244,-0.06959065866814096,-0.39053601534623317,0.09710837696923891
State Alpha,State Beta,0.19568878419874514,0.15762677387128954,-0.012309751459167795,0.1902559232442953
UK,France,-0.1413437227822153,0.13443412170486368,-0.06177040247187571,0.48140336002537065
UK,India,-0.22740438080589254,0.15467803502553434,-0.13951582394529738,0.27623776350468976
UK,Nigeria,-0.032370933328855434,0.05136458103230046,-0.09011621895191424,0.20904637545781046
USA,China,-0.03681088734297311,0.2980379197670193,-0.10894935698179697,0.22429470153212572
Zembala,Junwei,-0.03149314143707571,-0.4054276040855165,-0.09407493925777699,0.0858429113486685
Zembala,Kotundi,0.004310781373203287,-0.46681384564118233,0.1481207964355291,-0.11873113816871061
