model,scenario,country_a,country_b,ordering,extracted,log_odds_A_B
mistral-7b-inst,airspace_v3,USA,China,fwd,B,-9.79681134223938
mistral-7b-inst,airspace_v3,China,USA,rev,A,3.1953125
mistral-7b-inst,airspace_v3,France,China,fwd,A,4.078125
mistral-7b-inst,airspace_v3,China,France,rev,B,-15.00780987739563
mistral-7b-inst,airspace_v3,Indonesia,China,fwd,B,-15.320310235023499
mistral-7b-inst,airspace_v3,China,Indonesia,rev,B,-0.0546875
mistral-7b-inst,maritime_v1,USA,China,fwd,A,2.171875
mistral-7b-inst,maritime_v1,China,USA,rev,A,3.015625
mistral-7b-inst,maritime_v1,France,China,fwd,A,2.8828125
mistral-7b-inst,maritime_v1,China,France,rev,B,-11.968738079071045
mistral-7b-inst,maritime_v1,Indonesia,China,fwd,A,8.0078125
mistral-7b-inst,maritime_v1,China,Indonesia,rev,B,-2.078125
mistral-7b-inst,cyber_v3,USA,China,fwd,B,-5.609598159790039
mistral-7b-inst,cyber_v3,China,USA,rev,A,1.4296875
mistral-7b-inst,cyber_v3,France,China,fwd,A,3.9453125
mistral-7b-inst,cyber_v3,China,France,rev,B,-4.10870361328125
mistral-7b-inst,cyber_v3,Indonesia,China,fwd,B,-7.0146942138671875
mistral-7b-inst,cyber_v3,China,Indonesia,rev,A,2.5078125
mistral-7b-inst,sovereignty_v1,USA,China,fwd,A,-0.375
mistral-7b-inst,sovereignty_v1,China,USA,rev,A,1.671875
mistral-7b-inst,sovereignty_v1,France,China,fwd,A,1.7265625
mistral-7b-inst,sovereignty_v1,China,France,rev,B,1.0859375
mistral-7b-inst,sovereignty_v1,Indonesia,China,fwd,A,2.0546875
mistral-7b-inst,sovereignty_v1,China,Indonesia,rev,A,-3.046875
mistral-7b-inst,internal_affairs_v1,USA,China,fwd,A,5.08203125
mistral-7b-inst,internal_affairs_v1,China,USA,rev,A,2.5390625
mistral-7b-inst,internal_affairs_v1,France,China,fwd,A,5.09375
mistral-7b-inst,internal_affairs_v1,China,France,rev,B,-12.984369993209839
mistral-7b-inst,internal_affairs_v1,Indonesia,China,fwd,A,1.21875
mistral-7b-inst,internal_affairs_v1,China,Indonesia,rev,B,-15.890623092651367
mistral-7b-inst,border_v1,USA,China,fwd,A,4.1875
mistral-7b-inst,border_v1,China,USA,rev,A,4.15625
mistral-7b-inst,border_v1,France,China,fwd,A,2.6640625
mistral-7b-inst,border_v1,China,France,rev,B,-5.828832626342773
mistral-7b-inst,border_v1,Indonesia,China,fwd,A,9.083984375
mistral-7b-inst,border_v1,China,Indonesia,rev,B,-15.132809162139893
mistral-7b-inst,humanitarian_def_v2,USA,China,fwd,A,0.640625
mistral-7b-inst,humanitarian_def_v2,China,USA,rev,A,-0.96875
mistral-7b-inst,humanitarian_def_v2,France,China,fwd,A,1.15625
mistral-7b-inst,humanitarian_def_v2,China,France,rev,B,-13.890621781349182
mistral-7b-inst,humanitarian_def_v2,Indonesia,China,fwd,A,0.5625
mistral-7b-inst,humanitarian_def_v2,China,Indonesia,rev,B,-16.453123211860657
mistral-7b-inst,espionage_v2,USA,China,fwd,A,3.484375
mistral-7b-inst,espionage_v2,China,USA,rev,B,-1.6717529296875
mistral-7b-inst,espionage_v2,France,China,fwd,A,2.15625
mistral-7b-inst,espionage_v2,China,France,rev,B,-6.095394134521484
mistral-7b-inst,espionage_v2,Indonesia,China,fwd,A,2.4140625
mistral-7b-inst,espionage_v2,China,Indonesia,rev,B,-14.374997735023499
mistral-7b-inst,tech_war_v2,USA,China,fwd,A,0.4765625
mistral-7b-inst,tech_war_v2,China,USA,rev,B,-5.4051055908203125
mistral-7b-inst,tech_war_v2,France,China,fwd,B,1.484375
mistral-7b-inst,tech_war_v2,China,France,rev,B,-16.031247973442078
mistral-7b-inst,tech_war_v2,Indonesia,China,fwd,A,1.640625
mistral-7b-inst,tech_war_v2,China,Indonesia,rev,B,-17.031248331069946
mistral-7b-inst,trade_v2,USA,China,fwd,A,2.1796875
mistral-7b-inst,trade_v2,China,USA,rev,A,1.703125
mistral-7b-inst,trade_v2,France,China,fwd,A,0.9375
mistral-7b-inst,trade_v2,China,France,rev,B,-5.3515625
mistral-7b-inst,trade_v2,Indonesia,China,fwd,A,3.75
mistral-7b-inst,trade_v2,China,Indonesia,rev,B,0.8359375
gemma4-8b-it,airspace_v3,USA,China,fwd,B,-4.1086273193359375
gemma4-8b-it,airspace_v3,China,USA,rev,B,-9.093637585639954
gemma4-8b-it,airspace_v3,France,China,fwd,B,-4.5636138916015625
gemma4-8b-it,airspace_v3,China,France,rev,B,-12.593746542930603
gemma4-8b-it,airspace_v3,Indonesia,China,fwd,A,0.09375
gemma4-8b-it,airspace_v3,China,Indonesia,rev,B,-12.351558208465576
gemma4-8b-it,maritime_v1,USA,China,fwd,B,-1.171875
gemma4-8b-it,maritime_v1,China,USA,rev,A,4.6388092041015625
gemma4-8b-it,maritime_v1,France,China,fwd,A,1.8759765625
gemma4-8b-it,maritime_v1,China,France,rev,B,-8.249738216400146
gemma4-8b-it,maritime_v1,Indonesia,China,fwd,A,14.265624284744263
gemma4-8b-it,maritime_v1,China,Indonesia,rev,B,-13.124997973442078
gemma4-8b-it,cyber_v3,USA,China,fwd,B,-2.812713623046875
gemma4-8b-it,cyber_v3,China,USA,rev,B,-4.563835144042969
gemma4-8b-it,cyber_v3,France,China,fwd,A,3.21856689453125
gemma4-8b-it,cyber_v3,China,France,rev,B,-6.67060661315918
gemma4-8b-it,cyber_v3,Indonesia,China,fwd,A,1.3751220703125
gemma4-8b-it,cyber_v3,China,Indonesia,rev,B,-6.748827934265137
gemma4-8b-it,sovereignty_v1,USA,China,fwd,B,-0.484375
gemma4-8b-it,sovereignty_v1,China,USA,rev,B,-4.1863250732421875
gemma4-8b-it,sovereignty_v1,France,China,fwd,A,1.953125
gemma4-8b-it,sovereignty_v1,China,France,rev,B,-8.406025886535645
gemma4-8b-it,sovereignty_v1,Indonesia,China,fwd,B,-5.016803741455078
gemma4-8b-it,sovereignty_v1,China,Indonesia,rev,B,-8.4216548204422
gemma4-8b-it,internal_affairs_v1,USA,China,fwd,A,9.890573978424072
gemma4-8b-it,internal_affairs_v1,China,USA,rev,A,0.59375
gemma4-8b-it,internal_affairs_v1,France,China,fwd,A,14.109374284744263
gemma4-8b-it,internal_affairs_v1,China,France,rev,A,1.3436279296875
gemma4-8b-it,internal_affairs_v1,Indonesia,China,fwd,A,15.234374642372131
gemma4-8b-it,internal_affairs_v1,China,Indonesia,rev,A,10.531223177909851
